Category,Algorithm,Best Res,Best NMI,Best ARI,Num Com,optimal 3,Difference NMI
Bachelors,louvain,0.10,0.85,0.82,3,True,0.00
Bachelors,greedy,0.10,0.85,0.82,3,True,0.00
Masters,louvain,0.05,0.84,0.79,3,True,0.00
Masters,greedy,0.05,0.84,0.79,3,True,0.00
Majors,louvain,0.05,0.83,0.80,3,True,0.00
Majors,greedy,0.05,0.83,0.80,3,True,0.00
Minors,louvain,0.20,0.83,0.75,5,False,0.20
Minors,greedy,0.20,0.83,0.75,5,False,0.20
BSc Majors,louvain,0.30,0.81,0.80,4,False,0.15
BSc Majors,greedy,0.30,0.77,0.76,5,False,0.10
MSc Majors,louvain,0.05,0.72,0.68,4,False,0.72
MSc Majors,greedy,0.05,0.72,0.68,4,False,0.72
BSc Minors,louvain,0.10,0.83,0.80,5,False,0.23
BSc Minors,greedy,0.10,0.83,0.80,5,False,0.23
MSc Minors,louvain,0.75,0.88,0.78,4,False,0.14
MSc Minors,greedy,0.75,0.88,0.78,4,False,0.14
