Category,Algorithm,Best Resolution,Best NMI,Best ARI,Num Communities,Optimal Size (3),Difference NMI
Bachelors,louvain,0.10,1.00,1.00,3,True,0.00
Bachelors,greedy,0.10,1.00,1.00,3,True,0.00
Masters,louvain,0.05,1.00,1.00,3,True,0.00
Masters,greedy,0.05,1.00,1.00,3,True,0.00
Majors,louvain,0.05,0.86,0.91,3,True,0.29
Majors,greedy,0.05,0.80,0.79,3,True,0.00
Minors,louvain,0.10,0.96,0.96,4,False,0.32
Minors,greedy,0.10,0.96,0.96,4,False,0.32
BSc Majors,louvain,0.10,0.68,0.54,3,True,0.00
BSc Majors,greedy,0.20,0.68,0.54,3,True,0.00
MSc Majors,louvain,0.05,0.84,0.83,3,True,0.00
MSc Majors,greedy,0.05,0.84,0.83,3,True,0.00
BSc Minors,louvain,0.10,0.94,0.93,4,False,0.35
BSc Minors,greedy,0.10,0.94,0.93,4,False,0.35
MSc Minors,louvain,0.75,0.88,0.78,4,False,0.14
MSc Minors,greedy,0.75,0.88,0.78,4,False,0.14
