Category,Algorithm,Best Resolution,Best NMI,Best ARI,Num Communities,Optimal Size (3),Difference NMI
Bachelors,louvain,0.10,1.00,1.00,3,True,0.00
Bachelors,greedy,0.10,1.00,1.00,3,True,0.00
Masters,louvain,0.05,1.00,1.00,3,True,0.00
Masters,greedy,0.05,1.00,1.00,3,True,0.00
Majors,louvain,0.10,0.78,0.76,3,True,0.00
Majors,greedy,0.05,0.78,0.76,3,True,0.00
Minors,louvain,0.05,1.00,1.00,3,True,0.00
Minors,greedy,0.05,1.00,1.00,3,True,0.00
BSc Majors,louvain,1.50,0.60,0.26,7,False,0.10
BSc Majors,greedy,0.20,0.62,0.47,3,True,0.00
MSc Majors,louvain,0.20,1.00,1.00,3,True,0.00
MSc Majors,greedy,0.20,1.00,1.00,3,True,0.00
BSc Minors,louvain,0.05,1.00,1.00,3,True,0.00
BSc Minors,greedy,0.05,1.00,1.00,3,True,0.00
MSc Minors,louvain,0.05,1.00,1.00,3,True,0.00
MSc Minors,greedy,0.05,1.00,1.00,3,True,0.00
