Category,Algorithm,Best Res,Best NMI,Best ARI,Num Com,optimal 3,Difference NMI
Bachelors,greedy,0.30,0.85,0.73,4,False,0.00
Bachelors,louvain,0.30,0.85,0.73,4,False,0.00
Masters,greedy,0.05,1.00,1.00,3,True,0.15
Masters,louvain,0.05,1.00,1.00,3,True,0.15
Majors,greedy,0.05,0.78,0.78,3,True,0.14
Majors,louvain,0.05,0.78,0.78,3,True,0.14
Minors,greedy,0.05,1.00,1.00,3,True,0.10
Minors,louvain,0.05,1.00,1.00,3,True,0.10
BSc Majors,greedy,0.20,0.56,0.42,3,True,0.08
BSc Majors,louvain,2.00,0.50,0.16,11,False,0.09
MSc Majors,greedy,0.05,1.00,1.00,3,True,0.18
MSc Majors,louvain,0.05,1.00,1.00,3,True,0.18
BSc Minors,greedy,0.10,1.00,1.00,3,True,1.00
BSc Minors,louvain,0.10,1.00,1.00,3,True,0.08
MSc Minors,greedy,0.05,1.00,1.00,3,True,0.09
MSc Minors,louvain,0.05,1.00,1.00,3,True,0.09
