Event Name,Event Code,Event Type,Instructor,Course Languages,Component of Module,Weekday,Daytime,Start Time,End Time
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Immunology,.251_im,Course,"Nicole Borel, Salomé Leibundgut-Landmann",German,"Immunology, Pathology",N/A,N/A,N/A,N/A
"Bacteriology, Mycology II",.240_bm,Lecture with Practical Exercises,"Sophia Johler-Ilic, Sarah Albini, Danai Nadja Etter, Hanna Marti, Sarah Nicole Schmitt",German,"Bacteriology, Mycology",N/A,N/A,N/A,N/A
"Metabolism, Intermediary Metabolism, Water-Soluble Vitamins",.260_bc,Course,Michael O. Hottiger,German,Biochemistry II,N/A,N/A,N/A,N/A
Heart,.271_hz,Lecture with Practical Exercises,"Thomas Lutz, Hanspeter Nägeli, Colin Schwarzwald, Nicole Borel, Christian Gerspach, Mariusz Pawel Kowalewski, Enni Emilia Markkanen, Toni Glaus, Thomas Gorr, Dolf Kümmerlen, Matthias Dennler, Sarah Nicole Schmitt, Meret Wehrli Eser",German,"Heart, Circulatory System, Respiratory System",N/A,N/A,N/A,N/A
Respiratory System,.273_rsp,Lecture with Practical Exercises,"Christian Gerspach, Patrick Robert Kircher, Karl Nuss, Enni Emilia Markkanen, Toni Glaus, Manuela Schnyder Gasparoli, Johannes Vogel, Michael Weishaupt, Karl Rüdiger Klisch, Dolf Kümmerlen, Mirja Christine Nolff, Frauke Antje Seehusen, Rahel Jud Schefer, Julia Lechmann, Sarah Nicole Schmitt, Meret Wehrli Eser",German,"Heart, Circulatory System, Respiratory System",N/A,N/A,N/A,N/A
"Skin, Thermoregulation",.280_ht,Lecture with Practical Exercises,"Hanspeter Nägeli, Claude Favrot, Christian Gerspach, Manuela Schnyder Gasparoli, Thomas Gorr, Karl Rüdiger Klisch, Dolf Kümmerlen, Mirja Christine Nolff, Sarah Nicole Schmitt, Meret Wehrli Eser",German,"Skin, Thermoregulation",N/A,N/A,N/A,N/A
Parasiitology I,.285_p1,Lecture with Practical Exercises,"Manuela Schnyder Gasparoli, Hubertus Hertzberg, Ramon Eichenberger",German,Parasitology,N/A,N/A,N/A,N/A
Vetsuisse Clinic Days,.290_kt,Practical Training,N/A,German,Vetsuisse Clinic Days,N/A,N/A,N/A,N/A
Communication Basis,.295_km,Seminar,N/A,German,Kommunication Basis,N/A,N/A,N/A,N/A
"Pathology, Immunopathology",.252_pa,Lecture with Practical Exercises,"Anja Kipar, Nicole Borel, Franco Guscetti, Udo Hetzel",German,"Immunology, Pathology",N/A,N/A,N/A,N/A
"Rotations Small Animal Clinic, Farm Animal Clinic, Equine Clinic",.572_knp,Exercise Group,"Colin Schwarzwald, Christian Gerspach, Patrick Robert Kircher",German,"Rotations Small Animal Clinic, Farm Animal Clinic, Equine Clinic",N/A,N/A,N/A,N/A
"Rotations Farm Animal Clinic, Equine Clinic",.574_np,Exercise Group,"Colin Schwarzwald, Christian Gerspach",German,"Rotations Farm Animal Clinic, Equine Clinic",N/A,N/A,N/A,N/A
Master Thesis,.500_ma,Student Work,N/A,German,Master Thesis,N/A,N/A,N/A,N/A
Rotation Pathology,.510_pat,Exercise Group,"Anja Kipar, Nicole Borel, Franco Guscetti, Frauke Antje Seehusen, Paula Grest, Udo Hetzel, Monika Hilbe",German,Rotation Pathology,N/A,N/A,N/A,N/A
"Rotations Anesthesiology, Diagnostic Imaging, Ophthalmology",.520_cls,Exercise Group,"Regula Bettschart-Wolfensberger, Patrick Robert Kircher, Simon Pot, Stefanie Maria Ohlerth, Simone Katja Ringer, Francesca Del Chicca, Matthias Dennler, Ines Eva Lautenschläger, Antonella Rampazzo, Henning Richter, Barbara Steblaj, Jose Suarez Sanchez-Andrade, Maja Alice Waschk",German,"Rotations Anesthesiology, Diagnostic Imaging, Ophthalmology",N/A,N/A,N/A,N/A
