Program,Languages,Regulations,Organization,Responsible Instructor,Coordination,Part Of
Area Arabic,German,,Language Center of UZH and ETH Zurich,,,Language Center of UZH and ETH Zurich
Area Chinese,,,Language Center of UZH and ETH Zurich,,,Language Center of UZH and ETH Zurich
Area German as a foreign language,German,,Language Center of UZH and ETH Zurich,,,Language Center of UZH and ETH Zurich
Area English,German,,Language Center of UZH and ETH Zurich,,,Language Center of UZH and ETH Zurich
Area French,German,,Language Center of UZH and ETH Zurich,,,Language Center of UZH and ETH Zurich
Area Modern Greek,German,,Language Center of UZH and ETH Zurich,,,Language Center of UZH and ETH Zurich
Area Italian,German,,Language Center of UZH and ETH Zurich,,,Language Center of UZH and ETH Zurich
Area Japanese,German,,Language Center of UZH and ETH Zurich,,,Language Center of UZH and ETH Zurich
Area Russian,German,,Language Center of UZH and ETH Zurich,,,Language Center of UZH and ETH Zurich
Area Swedish,German,,Language Center of UZH and ETH Zurich,,,Language Center of UZH and ETH Zurich
Area Spanish,German,,Language Center of UZH and ETH Zurich,,,Language Center of UZH and ETH Zurich
Area Ancient Greek,German,,Language Center of UZH and ETH Zurich,,,Language Center of UZH and ETH Zurich
Area Sprachlich-historische Ausbildung,German,,Pädagogische Fachhochschule Zürich,,,"Fachvorlesungen für Studierende der PHZH, Sekundarstufe I"
Area Education in the Natural Sciences and Mathematics,German,,Pädagogische Fachhochschule Zürich,,,"Fachvorlesungen für Studierende der PHZH, Sekundarstufe I"
Area Religionswissenschaftliche Ausbildung,German,,Pädagogische Fachhochschule Zürich,,,"Fachvorlesungen für Studierende der PHZH, Sekundarstufe I"
Partial Area Deutsch,German,,Pädagogische Fachhochschule Zürich,,,Sprachlich-historische Ausbildung
Partial Area Englisch,German,,Pädagogische Fachhochschule Zürich,,,Sprachlich-historische Ausbildung
Partial Area Französisch,German,,Pädagogische Fachhochschule Zürich,,,Sprachlich-historische Ausbildung
Partial Area Mathematics,German,,Pädagogische Fachhochschule Zürich,,,Education in the Natural Sciences and Mathematics
Area Zahnärztliche Fortibildung,German,,Center of Dental Medicine,,,Zahnärztliche Fortbildung (ohne ECTS)
Area Latin,German,,Language Center of UZH and ETH Zurich,,,Language Center of UZH and ETH Zurich
Area Mathematics,German,,Faculty of Science,,,Additional Courses
Area Physics,German,,Faculty of Science,,,Additional Courses
Area Interdisciplinary Courses,,,Faculty of Science,,,Additional Courses
"Area Wissenschaftstheoretische, zahnmedizinische und medizinische Grundlagen 3. Studienjahr Bachelor",,,Center of Dental Medicine,,,3. Studienjahr Zahnmedizin
Area Kurse / Kolloquien 3. Studienjahr,,,Center of Dental Medicine,,,3. Studienjahr Zahnmedizin
Minor 30 Hermeneutics,German,,Faculty of Theology and the Study of Religion,Christiane Tietz,,Bachelor of Arts (RVO19);Bachelor of Arts in Social Sciences (RVO 19);Bachelor of Science in Psychology (RVO19);BA UZH in Study of Religions Bologna 2020;Bachelor of Theology UZH Bologna 2020;Bachelor of Science UZH in Informatics (RVO16);Bachelor of Science Faculty of Science (2021)
Minor 30 Ecclesiastical History,German,,Faculty of Theology and the Study of Religion,Peter Opitz,,Bachelor of Arts (RVO19);Bachelor of Arts in Social Sciences (RVO 19);Bachelor of Science in Psychology (RVO19);BA UZH in Study of Religions Bologna 2020;Bachelor of Theology UZH Bologna 2020;Bachelor of Science UZH in Informatics (RVO16);Bachelor of Science Faculty of Science (2021)
Minor 15 Ancient Christianity,German,,Faculty of Theology and the Study of Religion,Peter Opitz,,Master of Arts UZH in Study of Religions Bologna 2020;Master of Theology UZH Bologna 2020
Area Wahlbereich Theologie,,,Faculty of Theology and the Study of Religion,,,Ecclesiastical History
Area Wahlbereich Theologie,,,Faculty of Theology and the Study of Religion,,,Ancient Christianity
Area Compulsory modules,,,Faculty of Science,,,Neural Systems and Computation
Area Core elective modules,,,Faculty of Science,,,Neural Systems and Computation
Area Elective modules,,,Faculty of Science,,,Neural Systems and Computation
Area Compulsory modules,,,Faculty of Science,,,Computational Biology and Bioinformatics
Area Core elective modules,,,Faculty of Science,,,Computational Biology and Bioinformatics
Area Elective modules,,,Faculty of Science,,,Computational Biology and Bioinformatics
Partial Subject 1st year of studies Medicine,German,,Humanmedizin,,,Human Medicine
Partial Subject 3rd year of studies Medicine,German,,Humanmedizin,,,Human Medicine
Partial Subject 1st year of studies Dental Medicine,German,,Center of Dental Medicine,,,Dental Medicine
Partial Subject 2nd year of studies Dental Medicine,German,,Center of Dental Medicine,,,Dental Medicine
Area Polish,,,Language Center of UZH and ETH Zurich,,,Language Center of UZH and ETH Zurich
Single Major 120 Religion – Economics – Politics,German,,Faculty of Theology and the Study of Religion,Christiane Tietz,,Master of Arts in Religion – Economics – Politics (JDP)
Partial Subject RWP09: Grundlagenteil,,,Faculty of Theology and the Study of Religion,,,Religion – Economics – Politics
Partial Subject RWP09: Vertiefungsteil,,,Faculty of Theology and the Study of Religion,,,Religion – Economics – Politics
Partial Subject RWP09: Forschungs- und Integrationsteil,,,Faculty of Theology and the Study of Religion,,,Religion – Economics – Politics
Partial Subject Core elective pool ethics,,,Faculty of Law,,,Biomedical Ethics and Law
Partial Subject Compulsory module,,,Faculty of Law,,,Biomedical Ethics and Law
Partial Subject Core elective pool law and medicine,,,Faculty of Law,,,Biomedical Ethics and Law
Partial Subject DInf08: Compulsory area,,,"Faculty of Business, Economics and Informatics",,,Informatics (fast track);Informatics
Partial Subject DInf08: Core elective area,,,"Faculty of Business, Economics and Informatics",,,Informatics (fast track);Informatics
Area DInf08: Doctoral courses and seminars,,,"Faculty of Business, Economics and Informatics",,,DInf08: Core elective area
Area DInf08: Research Methodology,,,"Faculty of Business, Economics and Informatics",,,DInf08: Core elective area
Area Dinf08: Didactics and Scientific Communication,,,"Faculty of Business, Economics and Informatics",,,DInf08: Core elective area
Partial Subject RWP09: Profilierungsbereich,,,Faculty of Theology and the Study of Religion,,,Religion – Economics – Politics
Partial Subject Compulsory module,,,Faculty of Law,,,Law
Partial Subject Core elective pool,,,Faculty of Law,,,Law
Area Kurse / Kolloquien 1. Studienjahr Master,,,Center of Dental Medicine,,,1st year of studies Dental Medicine
"Area Wissenschaftstheoretische, zahnmedizinische und medizinische Grundlagen 1. Studienjahr Master",,,Center of Dental Medicine,,,1st year of studies Dental Medicine
Area 1. Studienjahr Humanmedizin,,,Humanmedizin,,,Human Medicine
Area 2. Studienjahr Humanmedizin,,,Humanmedizin,,,Human Medicine
Area 3. Studienjahr Humanmedizin,,,Humanmedizin,,,Human Medicine
Area 1. Studienjahr,,,Humanmedizin,,,Chiropractic Medicine
Area 2. Studienjahr,,,Humanmedizin,,,Chiropractic Medicine
Area 3. Studienjahr,,,Humanmedizin,,,Chiropractic Medicine
Single Major 120 Ancient Judaism (specialized Master's),German,,Faculty of Theology and the Study of Religion,Konrad Schmid,,Master of Arts in Ancient Judaism (JDP)
Major 90 Ancient Judaism (specialized Master's),German,,Faculty of Theology and the Study of Religion,Konrad Schmid,,Master of Arts in Ancient Judaism (JDP)
Area Pflichtmodule,,,Faculty of Theology and the Study of Religion,,,Ancient Judaism (specialized Master's)
Area Wahlbereich I,,,Faculty of Theology and the Study of Religion,,,Ancient Judaism (specialized Master's)
Area Wahlbereich II,,,Faculty of Theology and the Study of Religion,,,Ancient Judaism (specialized Master's)
Area Wahlbereich I,,,Faculty of Theology and the Study of Religion,,,Ancient Judaism (specialized Master's)
Area Pflichtmodule,,,Faculty of Theology and the Study of Religion,,,Ancient Judaism (specialized Master's)
Partial Area Mantelstudium 1. Studienjahr,,,Humanmedizin,,,1. Studienjahr Humanmedizin
Partial Area Mantelstudium Klinische Medizin 2. Studienjahr Bachelor bis 1. Studienjahr Master,,,Humanmedizin,,,Mantelstudium 3. Studienjahr;Mantelstudium 2. Studienjahr;Mantelstudium 1. Studienjahr Master
Partial Area Praktika 2. Studienjahr,,,Humanmedizin,,,2. Studienjahr Humanmedizin;2. Studienjahr;2. Studienjahr Zahnmedizin;2. Studienjahr LU;2. Studienjahr SG
Partial Area Praktika 1. Studienjahr,,,Humanmedizin,,,1. Studienjahr Humanmedizin;1. Studienjahr;1. Studienjahr Zahnmedizin;1. Studienjahr LU;1. Studienjahr SG
Partial Area Praktika 3. Studienjahr,,,Humanmedizin,,,3. Studienjahr Humanmedizin;3. Studienjahr;3. Studienjahr LU;3. Studienjahr SG
Partial Area Mantelstudium Chiropraktik 1. Studienjahr,,,Humanmedizin,,,1. Studienjahr
Partial Area Mantelstudium Chiropraktik 2. Studienjahr,,,Humanmedizin,,,2. Studienjahr
Partial Area Mantelstudium Chiropraktik 3. Studienjahr,,,Humanmedizin,,,3. Studienjahr
Area Wahlmodule,,,Humanmedizin,,,Dental Medicine;Human Medicine;Chiropractic Medicine
Area Praktika 1. Studienjahr Master,,,Humanmedizin,,,1st year of studies Medicine
Area Klinische Kurse 3. Studienjahr Master,,,Humanmedizin,,,3rd year of studies Medicine
Area Masterarbeit,,,Center of Dental Medicine,,,2nd year of studies Dental Medicine
Area Kurse / Kolloquien 2. Studienjahr Master,,,Center of Dental Medicine,,,2nd year of studies Dental Medicine
"Area Wissenschaftstheoretische, zahnmedizinische und medizinische Grundlagen 2. Studienjahr Master",,,Center of Dental Medicine,,,2nd year of studies Dental Medicine
Partial Subject 1. Studienjahr Zahnmedizin,,,Humanmedizin,,,Dental Medicine
Partial Subject 2. Studienjahr Zahnmedizin,,,Humanmedizin,,,Dental Medicine
Partial Subject 3. Studienjahr Zahnmedizin,,,Humanmedizin,,,Dental Medicine
Partial Area Mantelstudium 3. Studienjahr,,,Humanmedizin,,,3. Studienjahr Humanmedizin;3. Studienjahr Zahnmedizin
Partial Area Mantelstudium 2. Studienjahr,,,Humanmedizin,,,2. Studienjahr Humanmedizin;2. Studienjahr Zahnmedizin
Partial Area Mantelstudium 1. Studienjahr Master,,,Humanmedizin,,,1st year of studies Medicine;1st year of studies Dental Medicine
Area DNOEC10: Compulsory mod. Neuroeconomics,,,"Faculty of Business, Economics and Informatics",,,DNOEC10: Compulsory program in Neuroeconomics
Area DNOEC10: Core elect. mod. Neuroeconomics,,,"Faculty of Business, Economics and Informatics",,,Neuroeconomics
Major Graduate Campus courses and workshops,,,Further Offers,,,Transferable skills for PhD candidates
Partial Area Wahlmodule Anatomie,,,Humanmedizin,,,Wahlmodule
Partial Area Wahlmodule - Allgemeine Vorl. &amp; Veranst.,,,Humanmedizin,,,Wahlmodule
Partial Area Wahlmodule - Biochemie,,,Humanmedizin,,,Wahlmodule
Partial Area Wahlmodule - Physiologie,,,Humanmedizin,,,Wahlmodule
Partial Area Spezielle Vorlesungen (Weiter- und Fortbildung),,,Humanmedizin,,,Wahlmodule
Partial Subject Elective pool,,,Faculty of Law,,,Biomedical Ethics and Law
Partial Subject Wahlmodule,,,Center of Dental Medicine,,,Dental Medicine
Partial Subject M Chiro Med 1. SJ,,,Humanmedizin,,,Chiropractic Medicine
"Area Vorlesungen, Prüfungen 1. Studienjahr Master",,,Humanmedizin,,,M Chiro Med 1. SJ
"Area M ChiroMed Vorlesungen, Praktika, Tutorate im 1. SJ",,,Humanmedizin,,,M Chiro Med 1. SJ
Partial Subject M Chiro Med 2. SJ,,,Humanmedizin,,,Chiropractic Medicine
Partial Subject M Chiro Med 3. SJ,,,Humanmedizin,,,Chiropractic Medicine
"Area M ChiroMed Vorlesungen, Praktika, Tutorate 2. SJ",,,Humanmedizin,,,M Chiro Med 2. SJ
Area Themenfelder 3. Studienjahr Master,,,Humanmedizin,,,3rd year of studies Medicine
Area Wahlmodule 3. Studienjahr Master,,,Humanmedizin,,,Human Medicine
Area ChiroMed Lehrklinik im M ChiroMed 3. SJ,,,Faculty of Medicine,,,M Chiro Med 3. SJ
