Event Name,Event Code,Event Type,Instructor,Course Languages,Component of Module
N/A,N/A,N/A,N/A,N/A,N/A
Virologie,.335_vr,Course,Cornel Fraefel,German,Virology
Anatomy Applied,.345_aa,Lecture with Practical Exercises,Mariusz Pawel Kowalewski,German,Anatomy applied
"Epidemiology, Biostatistics",.355_eb,Course,Paul Torgerson,"German, English","Epidemiology, Biostatistics"
Communication in Challenging Situations,.365_kk,Seminar,Thomas Lutz,German,Communication
"Endocrinology, Metabolism",.370_en,Lecture with Practical Exercises,Michael O. Hottiger,German,"Endocrinology, Metabolism"
"Reproduction, Mammary Gland",.360_gem,Lecture with Practical Exercises,Heinrich Bollwein,German,"Reproduction, Mammary Gland"
"Central Nervous System, Sensory Organs",.350_zsi,Lecture with Practical Exercises,Thomas Lutz,German,"Central Nervous System, Sensory Organs"
Propaedeutics Practically,.375_pro,Exercise Group,Christian Gerspach,German,Propaedeutics Practically
Vetsuisse Clinic Days,.385_kt2,Exercise Group,Thomas Lutz,German,Vetsuisse Clinic Days
Small Animal Anaesthesia: Stand by Duty,1,Practical Training,Simone Katja Ringer,German,Small Animal Anaesthesia: Stand by Duty
Mid-Term-Evaluation,HD_MID,Examination,N/A,English,Mid-Term-Evaluation
Functional Foot Trimming in Cattle,004,Block Course,Karl Nuss,German,Functional Foot Trimming in Cattle
Evidence Based Complementary Medicine,FWB80,Block Course,N/A,German,Evidence Based Complementary Medicine
Vetsuisse Farm Animal Evening,70,Course,Christian Gerspach,German,Vetsuisse Farm Animal Evening
"Seminar small animal internal medicine, case based presentations",77,Seminar,Toni Glaus,German,"Seminar small animal internal medicine, case based presentations"
Assistance in small animal surgery,78,Exercise Group,Antonio Pozzi,German,Assistance in small animal surgery
in-vitro techniques in animal nutrition,79,Seminar,Annette Liesegang,German,in-vitro techniques in animal nutrition
Colloquium in Pathology,FWB23,Colloquium,Anja Kipar,German,Colloquium in Pathology
Histopathology Seminar Joint Pathology Center,FWB24,Seminar,Anja Kipar,German,Histopathology Seminar Joint Pathology Center
Selected Topics of Food Safety,FWB29,Colloquium,Roger Stephan,German,Selected Topics of Food Safety
Specific Project Discussion at DMMD,FWB34,Colloquium,Michael O. Hottiger,German,Specific Project Discussion at DMMD
Journal Club Diagnostic Imaging,FWB37,Colloquium,Patrick Robert Kircher,German,Journal Club Diagnostic Imaging
Epidemiological Guidance,FWB41,Colloquium,Paul Torgerson,German,Epidemiological Guidance
Literature Seminar: Surgery and Internal Medicine of Exotic Animals,FWB42,Seminar,Jean-Michel Hatt,German,Literature Seminar: Surgery and Internal Medicine of Exotic Animals
Current Topics of Oncology,FWB47,Block Course,Franco Guscetti,German,Current Topics of Oncology
Exotic Animals: Case Reports,FWB51,Colloquium,Jean-Michel Hatt,German,Exotic Animals: Case Reports
Exotics Club,71,Exercise Group,Jean-Michel Hatt,German,Exotics Club
"Practicals, Trainings and Courses",p,Practical Training,Thomas Lutz,German,"Practicals, Trainings and Courses"
Night and Weekend Duties Small Animals,.491_kt,Exercise Group,Alessio Vigani,German,Night Duties and Weekend Duties
Night and Weekend Duties Large Animals,.492_nt,Exercise Group,Christian Gerspach,German,Night Duties and Weekend Duties
Night and Weekend Duties Horses,.493_pf,Exercise Group,N/A,German,Night Duties and Weekend Duties
Rotation Pathology,.510_pat,Exercise Group,Anja Kipar,German,Rotation Pathology
"Rotations Anesthesiology, Diagnostic Imaging, Ophthalmology",.520_cls,Exercise Group,Regula Bettschart-Wolfensberger,German,"Rotations Anesthesiology, Diagnostic Imaging, Ophthalmology"
Rotations Small Animal Clinic,.530_kt,Exercise Group,Jean-Michel Hatt,German,Rotations Small Animal Clinic
Rotations Farm Animal Clinic,.540_nt,Exercise Group,Heinrich Bollwein,German,Rotations Farm Animal Clinic
Rotations Equine Clinic,.550_pf,Exercise Group,Anton Fürst,German,Rotations Equine Clinic
"Rotations Small Animal Clinic, Farm Animal Clinic, Equine Clinic",.572_knp,Exercise Group,Colin Schwarzwald,German,"Rotations Small Animal Clinic, Farm Animal Clinic, Equine Clinic"
"Rotations Farm Animal Clinic, Equine Clinic",.574_np,Exercise Group,Colin Schwarzwald,German,"Rotations Farm Animal Clinic, Equine Clinic"
"Rotations Small Animal Clinic, Equine Clinic",.576_kp,Exercise Group,Colin Schwarzwald,German,"Rotations Small Animal Clinic, Equine Clinic"
"Rotations Small Animal Clinic, Farm Animal Clinic",.578_kn,Exercise Group,Christian Gerspach,German,"Rotations Small Animal Clinic, Farm Animal Clinic"
Journal Club Equine Surgery,FW101,Seminar,Anton Fürst,German,Journal Club Equine Surgery
Book Club Equine Surgery,FW102,Seminar,Jan Kümmerle,German,Book Club Equine Surgery
Field diagnostics - Knowledge transfer,W73,Block Course,Jean-Michel Hatt,German,Field diagnostics - Knowledge Transfer
Introduction to SPSS,W76,Exercise Group,Sonja Sybille Hartnack,English,Introduction to SPSS
Journal Club Anaesthesiology,FW95,Seminar,Simone Katja Ringer,German,Journal Club Anaesthesiology
Book Club Anaesthesiology,FW96,Seminar,Simone Katja Ringer,German,Book Club Anaesthesiology
Journal Club Equine Medicine,FW97,Seminar,Colin Schwarzwald,German,Journal Club Equine Medicine
Book Club Equine Medicine,FW98,Seminar,Colin Schwarzwald,German,Book Club Equine Medicine
Topic Rounds Equine Medicine,FW99,Seminar,Colin Schwarzwald,German,Topic Rounds Equine Medicine
Current Problems in Pharmacology,FWB04,Colloquium,Hanspeter Nägeli,German,Current Problems in Pharmacology
Further Training Seminaries Horses,FWB100,Seminar,Colin Schwarzwald,German,Further Training Seminaries Horses
Journal Club Pathology,FWB103,Seminar,Anja Kipar,German,Journal Club Pathology
Further Training Pathology: Dermatology,FWB104,Seminar,Paula Grest,German,Further Training Pathology: Dermatology
Further Training Pathology: Equine Medicine,FWB107,Seminar,Anja Kipar,German,Further Training Pathology: Equine Medicine
Further Training Pathology: Zoo Animals,FWB108,Seminar,Anja Kipar,German,Further Training Pathology: Zoo Animals
Journal Club Cardiology,FWB111,Colloquium,Toni Glaus,German,Journal Club Cardiology
Specific Project Discussion at DMMD,FWB112,Meeting,Matthias Altmeyer,German,Specific Project Discussion at DMMD
Book Club Oncology,FWB114,Colloquium,Carla Rohrer Bley,German,Book Club Oncology
Current Aspects of Parasitological Research,FWB12,Seminar,Adrian Hehl,German,Current Aspects of Parasitological Research
Further Training: Small Animal Surgery: Morbidity and Mortality Rounds,FWB125,Colloquium,Antonio Pozzi,German,Further Training: Small Animal Surgery: Morbidity and Mortality Rounds
Further Training: Small Animal Surgery and Oncology: Case Discussion,FWB126,Colloquium,Carla Rohrer Bley,German,Further Training: Small Animal Surgery and Oncology: Case Discussion
Further Training: Small Animal Surgery and Radiology: Case Discussion,FWB127,Colloquium,Antonio Pozzi,German,Further Training: Small Animal Surgery and Radiology: Case Discussion
Journal Club Small Animal Surgery,FWB128,Colloquium,Antonio Pozzi,German,Journal Club Small Animal Surgery
Wednesday Seminar on Small Animal Surgery,FWB129,Colloquium,Antonio Pozzi,German,Wednesday Seminar on Small Animal Surgery
Parasitological-Diagnostic Case Discussions,FWB13,Seminar,Manuela Schnyder Gasparoli,German,Parasitological-Diagnostic Case Discussions
Professional ethics in veterinary medicine,FWB134,Seminar,Sonja Sybille Hartnack,German,Professional ethics in veterinary medicine
Intensive review session small animal internal medicine,FWB136,Seminar,Toni Glaus,German,Intensive review session small animal internal medicine
Further Training Parasitology,FWB137,Seminar,Manuela Schnyder Gasparoli,German,Further Training Parasitology
