Event Name,Event Code,Event Type,Instructor,Course Languages,Component of Module,Weekday,Daytime,Start Time,End Time
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Forschungsseminar Protein Engineering,BCH802,Forschungsseminar,Andreas Plückthun,English,N/A,Thursday,Morning,8,12
Research Seminar Protein Dynamics (Progress Report),BCH805,Forschungsseminar,Benjamin Schuler,English,N/A,Monday,Afternoon,13,15
Research seminars,BCH405,Seminar,"Amedeo Caflisch, Raimund Dutzler, Martin Jinek, Ohad Medalia, Andreas Plückthun, Benjamin Schuler",English,BCH 405 Research seminars,Thursday,Afternoon,16,18
Blockcourse: Social science Research projects,44LM001,Block Course,Dorothea Lüddeckens,German,Social science Research projects,N/A,N/A,N/A,N/A
"Marathon Reading of Spenser’s ‘Faerie Queene’ plus one-day symposium at the University of Tampere, Finland",440l524a,Field Trip,Antoinina Bevan Zlatar,English,Marathon Reading of Spenser’s_land [s17],N/A,N/A,N/A,N/A
"Bestandesmedizin, Geflügel",.470_gf,Course,N/A,German,"Prophylactic Measures, Herd Health, Swine Medicine, Poultry",N/A,N/A,N/A,N/A
Bachelorarbeit,255-BAa,Bachelor Paper,N/A,German,Bachelor's Thesis,N/A,N/A,N/A,N/A
Waldarchäologie III,682l109a,Praktikum,"Jonas Miro Blum, Philippe Della Casa, Timo Leonardo Geitlinger, Igor Medaric",German,Short Internship: Forest Archaeology III,N/A,N/A,N/A,N/A
Erkenntnistheorie (Vertiefung) (Bausman),160-512a,Selbststudium mit Leistungsnachweis,William Bausman,German,Epistemology (advanced),N/A,N/A,N/A,N/A
Philosophie der Naturwissenschaften (Bausman),164-503a,Selbststudium mit Leistungsnachweis,William Bausman,German,Philosophy of natural science,N/A,N/A,N/A,N/A
Philosophie der Geistes- und Sozialwissenschaften (Bausman),164-504a,Selbststudium mit Leistungsnachweis,William Bausman,German,Philosophy of the humanities and social sciences,N/A,N/A,N/A,N/A
Onboarding Incomings,200-999a,Sonstiges,N/A,English,Onboarding Incomings,N/A,N/A,N/A,N/A
Bachelor Thesis Literature (Bevan),440-BAa,Bachelor Paper,N/A,English,Bachelor's Thesis,N/A,N/A,N/A,N/A
Bachelor Thesis Linguistics (Seiler),440-BAa,Bachelor Paper,N/A,English,Bachelor's Thesis,N/A,N/A,N/A,N/A
"Klinischer Kurs Innere Medizin, im Kantonsspital Uri",KUR416e,Exercise Group,"Constantine Bloch-Infanger, Astrid Hurni, Daniela Zwierzina",German,"Clinical Courses III: Gynecology &amp; Obstetrics or Pediatrics, Family Medicine,",N/A,N/A,N/A,N/A
Practical course FIT (Field-specific Information Toolbox),OEG1020,Praktikum,Martina Gosteli Eichenberger,German,Practical Course in Biostatistics  /Practical course FIT (Field-specific Information,N/A,N/A,N/A,N/A
Allgemeine Ethik (Surber),160-014a,Selbststudium mit Leistungsnachweis,Regina Surber,German,Normative ethics,N/A,N/A,N/A,N/A
Forschungskolloquium Slavistische Literaturwissenschaft (für Doktorierende),483G405a,Colloquium,Sylvia Sasse,German,Research Colloquium Slavonic Literatures (for PhD Candidates),N/A,N/A,N/A,N/A
Politische Philosophie (Vertiefung) (Gläser),160-510a,Selbststudium mit Leistungsnachweis,Micha Bernhard Gläser,German,Political philosophy (advanced),N/A,N/A,N/A,N/A
Grundlagen des Rechts,IUS_AD27,Colloquium,José Luis Alonso,German,Grundlagen des Rechts. Kolloquium für Doktorierende und Habilitierende,N/A,N/A,N/A,N/A
iPSZürich Lecture,IRM21001,Seminar,Melanie Generali,German,iPSZürich Lecture,N/A,N/A,N/A,N/A
Basiskompetenz Kunstgeschichte Ostasiens,642-003a,Selbststudium mit Leistungsnachweis,N/A,"German, English",Foundation in East Asian Art History,N/A,N/A,N/A,N/A
Bachelor Thesis Linguistics (Studer-Joho),440-BAa,Bachelor Paper,N/A,English,Bachelor's Thesis,N/A,N/A,N/A,N/A
Master Thesis Linguistics (Studer-Joho),440-MAa,Master Paper,N/A,English,Master's Thesis,N/A,N/A,N/A,N/A
Master Thesis Linguistics (Dellwo),440-MAa,Master Paper,N/A,English,Master's Thesis,N/A,N/A,N/A,N/A
Bachelor Thesis Linguistics (Zehentner),440-BAa,Bachelor Paper,N/A,English,Bachelor's Thesis,N/A,N/A,N/A,N/A
Master Thesis Literature (Verstl),440-MAa,Master Paper,N/A,English,Master's Thesis,N/A,N/A,N/A,N/A
Master Thesis Literature (Tjon-A-Meeuw),440-MAa,Master Paper,N/A,English,Master's Thesis,N/A,N/A,N/A,N/A
Bachelor Thesis Literature (Essi),440-BAa,Bachelor Paper,N/A,English,Bachelor's Thesis,N/A,N/A,N/A,N/A
Master Thesis Literature (Essi),440-MAa,Master Paper,N/A,English,Master's Thesis,N/A,N/A,N/A,N/A
Bachelor Thesis Literature (Castelli),440-BAa,Bachelor Paper,N/A,English,Bachelor's Thesis,N/A,N/A,N/A,N/A
Anthropology of Indonesia,721l280a,Seminar,Annuska Derks,English,Anthropology of Southeast Asia,Friday,Afternoon,12,13
In the American Grain: Walt Whitman and Emily Dickinson,440l510a,Seminar,Philip Gerard,English,In the American Grain: Walt Whitman and Emily Dickinson,Friday,Morning,10,12
Statistik 3 (Tutorat),200-500a,Tutorat,Charles Driver,German,Statistics 3,N/A,N/A,N/A,N/A
R Programming Skills,615l514a,Seminar,Benjamin Schlegel,German,R Programming Skills,Friday,Morning,10,12
Direkte Demokratie - Segen oder Fluch?,615l522a,Seminar,Deniz Danaci,German,Direct Democracy - Benefits and Drawbacks,Friday,Afternoon,12,13
Kantonale Wahlen und Abstimmungen,615l524a,Seminar,Tomislaw Milic,German,Elections and Votes in the Swiss Cantons,Friday,Afternoon,14,15
International Climate Policy,615l527a,Seminar,Paula Monica Castro Pareja,English,International Climate Policy,Friday,Morning,10,12
Praktikum,615l550a,Praktikum,N/A,German,Internship,N/A,N/A,N/A,N/A
Praktikum,615l551a,Praktikum,N/A,German,Internship,N/A,N/A,N/A,N/A
Praktikum,615l552a,Praktikum,N/A,German,Internship,N/A,N/A,N/A,N/A
Praktikum,615l553a,Praktikum,N/A,German,Internship,N/A,N/A,N/A,N/A
Praktikum,615l554a,Praktikum,N/A,German,Internship,N/A,N/A,N/A,N/A
Capstone: Developing a Multilateral Negotiation Simulation,615l601a,Seminar,Stefanie Walter,English,Capstone: Developing a Multilateral Negotiation Simulation,N/A,N/A,N/A,N/A
Capstone: Heimat neu erzählen - Alternative nationale Narrative für die Schweiz,615l602a,Seminar,Karsten Donnay,German,Capstone: Retelling Heimat - Alternative national narratives for Switzerland,N/A,N/A,N/A,N/A
Written Paper in Neurolinguistics and Psycholinguistics,272-523a,Selbststudium mit Leistungsnachweis,N/A,"German, English",Written Paper in Neurolinguistics and Psycholinguistics,N/A,N/A,N/A,N/A
Assessed Work Neurolinguistics and Psycholinguistics,272-526a,Praktikum,N/A,"German, English",Assessed Work Neurolinguistics and Psycholinguistics,N/A,N/A,N/A,N/A
Grammar Writing,272-514a,Selbststudium mit Leistungsnachweis,N/A,"German, English",Grammar Writing,N/A,N/A,N/A,N/A
Written Paper in Typological and Documentary Linguistics,272-516a,Selbststudium mit Leistungsnachweis,N/A,"German, English",Written Paper in Typological and Documentary Linguistics,N/A,N/A,N/A,N/A
Schriftliche Arbeit Sprachgeschichte,272-505a,Selbststudium mit Leistungsnachweis,N/A,"German, English",Written Paper in Language Diachrony,N/A,N/A,N/A,N/A
Schriftliche Arbeit Sprachursprung,272-511a,Selbststudium mit Leistungsnachweis,N/A,"German, English",Written Paper in Language Origin,N/A,N/A,N/A,N/A
Schriftliche Arbeit Sprachliche Ontogenese,272-508a,Selbststudium mit Leistungsnachweis,N/A,"German, English",Written Paper in Linguistic Ontogeny,N/A,N/A,N/A,N/A
Forschungspraktikum Mikrobiologie,BIO316,Praktikum,"Leo Eberl, Simona Huwiler, Jakob Pernthaler, Gabriella Pessi, Thomas Posch",German,BIO 316 Reserach Internship in Microbiology,N/A,N/A,N/A,N/A
Biochemistry of reactive oxygen species,CHE24001,Course,"Johanna Buschmann, Damir Kracun",English,Biochemistry of reactive oxygen species,N/A,N/A,N/A,N/A
"(G47) Masterarbeitsgruppe ""Komputationale Modellierung in der Psychologie""",200-901a,Exercise Group,Ven Popov,"German, English",Master's Working Group 1,N/A,N/A,N/A,N/A
"(G47) Forschungskolloquium ""Komputationale Modellierung in der Psychologie""",200-902a,Colloquium,Ven Popov,"German, English",Research Colloquium 1,N/A,N/A,N/A,N/A
"(G47) Masterprüfung ""Komputationale Modellierung in der Psychologie""",200-909a,Selbststudium mit Leistungsnachweis,Ven Popov,"German, English",Master's Exam,N/A,N/A,N/A,N/A
"(G47) Bachelorarbeit ""Komputationale Modellierung in der Psychologie""",200-BAa,Bachelor Paper,Ven Popov,German,Bachelor's Thesis,N/A,N/A,N/A,N/A
"(G47) Masterarbeit ""Komputationale Modellierung in der Psychologie""",200-MAa,Master Paper,Ven Popov,"German, English",Master's Thesis,N/A,N/A,N/A,N/A
Mantelstudium: Ernährungsmedizin,22MAS007,Course,"Luc Biedermann, David Blum, Sascha David, Michael Gagesch, Philipp Gerber, Johannes Häberle, Patrick Pasi, Carsten Posovszky, Katharina Christine Quack Lötscher, Marianne Rohrbach, Paolo M. Suter",German,Elective Module: Nutrition Medicine,N/A,N/A,N/A,N/A
Elective Module: Nutrition and Prevention,24MAS003,Seminar,"Sabine Rohrmann, Nina Steinemann",German,Nutrition and Prevention,N/A,N/A,N/A,N/A
Masterarbeit,615-MAa,Master Paper,N/A,German,Master's Thesis,N/A,N/A,N/A,N/A
Propädeutikum Kunstgeschichte Ostasiens,642-002a,Seminar,Stephanie Santschi,"German, English",Propadeuticum,Friday,Afternoon,14,15
PhD-Kolloquien der einzelnen Lehrstühle,226G830a,Colloquium,N/A,German,Research Colloquia PhD (without Presentation),N/A,N/A,N/A,N/A
