Event Name,Event Code,Event Type,Instructor,Course Languages,Component of Module
N/A,N/A,N/A,N/A,N/A,N/A
Forschungsseminar Protein Engineering,BCH802,Forschungsseminar,Andreas Plückthun,English,N/A
Research Seminar Protein Dynamics (Progress Report),BCH805,Forschungsseminar,Benjamin Schuler,English,N/A
Research seminars,BCH405,Seminar,Amedeo Caflisch,English,BCH 405 Research seminars
Blockcourse: Social science Research projects,44LM001,Block Course,Dorothea Lüddeckens,German,Social science Research projects
"Marathon Reading of Spenser’s ‘Faerie Queene’ plus one-day symposium at the University of Tampere, Finland",440l524a,Field Trip,Antoinina Bevan Zlatar,English,Marathon Reading of Spenser’s_land [s17]
"Bestandesmedizin, Geflügel",.470_gf,Course,N/A,German,"Prophylactic Measures, Herd Health, Swine Medicine, Poultry"
Bachelorarbeit,255-BAa,Bachelor Paper,N/A,German,Bachelor's Thesis
Waldarchäologie III,682l109a,Praktikum,Jonas Miro Blum,German,Short Internship: Forest Archaeology III
Erkenntnistheorie (Vertiefung) (Bausman),160-512a,Selbststudium mit Leistungsnachweis,William Bausman,German,Epistemology (advanced)
Philosophie der Naturwissenschaften (Bausman),164-503a,Selbststudium mit Leistungsnachweis,William Bausman,German,Philosophy of natural science
Philosophie der Geistes- und Sozialwissenschaften (Bausman),164-504a,Selbststudium mit Leistungsnachweis,William Bausman,German,Philosophy of the humanities and social sciences
Onboarding Incomings,200-999a,Sonstiges,N/A,English,Onboarding Incomings
Bachelor Thesis Literature (Bevan),440-BAa,Bachelor Paper,N/A,English,Bachelor's Thesis
Bachelor Thesis Linguistics (Seiler),440-BAa,Bachelor Paper,N/A,English,Bachelor's Thesis
"Klinischer Kurs Innere Medizin, im Kantonsspital Uri",KUR416e,Exercise Group,Constantine Bloch-Infanger,German,"Clinical Courses III: Gynecology &amp; Obstetrics or Pediatrics, Family Medicine,"
Practical course FIT (Field-specific Information Toolbox),OEG1020,Praktikum,Martina Gosteli Eichenberger,German,Practical Course in Biostatistics  /Practical course FIT (Field-specific Information
Allgemeine Ethik (Surber),160-014a,Selbststudium mit Leistungsnachweis,Regina Surber,German,Normative ethics
Forschungskolloquium Slavistische Literaturwissenschaft (für Doktorierende),483G405a,Colloquium,Sylvia Sasse,German,Research Colloquium Slavonic Literatures (for PhD Candidates)
Politische Philosophie (Vertiefung) (Gläser),160-510a,Selbststudium mit Leistungsnachweis,Micha Bernhard Gläser,German,Political philosophy (advanced)
Grundlagen des Rechts,IUS_AD27,Colloquium,José Luis Alonso,German,Grundlagen des Rechts. Kolloquium für Doktorierende und Habilitierende
iPSZürich Lecture,IRM21001,Seminar,Melanie Generali,German,iPSZürich Lecture
Basiskompetenz Kunstgeschichte Ostasiens,642-003a,Selbststudium mit Leistungsnachweis,N/A,"German, English",Foundation in East Asian Art History
Bachelor Thesis Linguistics (Studer-Joho),440-BAa,Bachelor Paper,N/A,English,Bachelor's Thesis
Master Thesis Linguistics (Studer-Joho),440-MAa,Master Paper,N/A,English,Master's Thesis
Master Thesis Linguistics (Dellwo),440-MAa,Master Paper,N/A,English,Master's Thesis
Bachelor Thesis Linguistics (Zehentner),440-BAa,Bachelor Paper,N/A,English,Bachelor's Thesis
Master Thesis Literature (Verstl),440-MAa,Master Paper,N/A,English,Master's Thesis
Master Thesis Literature (Tjon-A-Meeuw),440-MAa,Master Paper,N/A,English,Master's Thesis
Bachelor Thesis Literature (Essi),440-BAa,Bachelor Paper,N/A,English,Bachelor's Thesis
Master Thesis Literature (Essi),440-MAa,Master Paper,N/A,English,Master's Thesis
Bachelor Thesis Literature (Castelli),440-BAa,Bachelor Paper,N/A,English,Bachelor's Thesis
Anthropology of Indonesia,721l280a,Seminar,Annuska Derks,English,Anthropology of Southeast Asia
In the American Grain: Walt Whitman and Emily Dickinson,440l510a,Seminar,Philip Gerard,English,In the American Grain: Walt Whitman and Emily Dickinson
Statistik 3 (Tutorat),200-500a,Tutorat,Charles Driver,German,Statistics 3
R Programming Skills,615l514a,Seminar,Benjamin Schlegel,German,R Programming Skills
Direkte Demokratie - Segen oder Fluch?,615l522a,Seminar,Deniz Danaci,German,Direct Democracy - Benefits and Drawbacks
Kantonale Wahlen und Abstimmungen,615l524a,Seminar,Tomislaw Milic,German,Elections and Votes in the Swiss Cantons
International Climate Policy,615l527a,Seminar,Paula Monica Castro Pareja,English,International Climate Policy
Praktikum,615l550a,Praktikum,N/A,German,Internship
Praktikum,615l551a,Praktikum,N/A,German,Internship
Praktikum,615l552a,Praktikum,N/A,German,Internship
Praktikum,615l553a,Praktikum,N/A,German,Internship
Praktikum,615l554a,Praktikum,N/A,German,Internship
Capstone: Developing a Multilateral Negotiation Simulation,615l601a,Seminar,Stefanie Walter,English,Capstone: Developing a Multilateral Negotiation Simulation
Capstone: Heimat neu erzählen - Alternative nationale Narrative für die Schweiz,615l602a,Seminar,Karsten Donnay,German,Capstone: Retelling Heimat - Alternative national narratives for Switzerland
Written Paper in Neurolinguistics and Psycholinguistics,272-523a,Selbststudium mit Leistungsnachweis,N/A,"German, English",Written Paper in Neurolinguistics and Psycholinguistics
Assessed Work Neurolinguistics and Psycholinguistics,272-526a,Praktikum,N/A,"German, English",Assessed Work Neurolinguistics and Psycholinguistics
Grammar Writing,272-514a,Selbststudium mit Leistungsnachweis,N/A,"German, English",Grammar Writing
