Program,Languages,Regulations,Organization,Responsible Instructor,Coordination,Part Of
Doctoral Program Drug Discovery,English,https://www.mnf.uzh.ch/en/studium/reglemente.html,Faculty of Science,Michael Arand,Olga von Niederhäusern,Joint Doctorate at the Faculty of Science of the UZH and the ETH Zurich
Doctoral Program Evolutionary Biology,English,https://www.mnf.uzh.ch/en/studium/reglemente.html,Faculty of Science,Kentaro Shimizu,Anton Weingrill,Joint Doctorate at the Faculty of Science of the UZH and the ETH Zurich
Doctoral Program Mathematics,English,,Faculty of Science,Benjamin Schlein,Jessica Bolsinger,Doctorate Faculty of Science
Major 90 Artificial Intelligence (Fast Track),English,https://www.oec.uzh.ch/en/studies/general/regulations.html,,,,Master of Science UZH in Informatics (PVO08)
Concentration General Geography,English,,Faculty of Science,,,Master of Science Faculty of Science (120) (2021)
Concentration Geographic Information Science and Systems,English,,Faculty of Science,,,Master of Science Faculty of Science (120) (2021)
Concentration Remote Sensing,English,,Faculty of Science,,,Master of Science Faculty of Science (120) (2021)
Concentration Human Geography,English,,Faculty of Science,,,Master of Science Faculty of Science (120) (2021)
Concentration Physical Geography,English,,Faculty of Science,,,Master of Science Faculty of Science (120) (2021)
Concentration Anthropology,English,,Faculty of Science,,,Master of Science Faculty of Science (120) (2021)
Concentration Animal Behaviour,English,,Faculty of Science,,,Master of Science Faculty of Science (120) (2021)
Concentration Cancer Biology,English,,Faculty of Science,,,Master of Science Faculty of Science (120) (2021)
Concentration Genetics and Development,English,,Faculty of Science,,,Master of Science Faculty of Science (120) (2021)
Concentration Immunology,English,,Faculty of Science,,,Master of Science Faculty of Science (120) (2021)
Concentration Microbiology,English,,Faculty of Science,,,Master of Science Faculty of Science (120) (2021)
Concentration Molecular and Cellular Biology,English,,Faculty of Science,,,Master of Science Faculty of Science (120) (2021)
Concentration Neurosciences,English,,Faculty of Science,,,Master of Science Faculty of Science (120) (2021)
Concentration Paleontology,English,,Faculty of Science,,,Master of Science Faculty of Science (120) (2021)
Concentration Plant Sciences,English,,Faculty of Science,,,Master of Science Faculty of Science (120) (2021)
Concentration Quantitative Biology and Systems Biology,English,,Faculty of Science,,,Master of Science Faculty of Science (120) (2021)
Concentration Virology,English,,Faculty of Science,,,Master of Science Faculty of Science (120) (2021)
Minor 30 Biochemistry,"German, English",,Faculty of Science,Raimund Dutzler,Cristina Manatschal,Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020; Master of Theology UZH Bologna 2020
Minor 30 Earth System Science,"English, German",,Faculty of Science,Norman Backhaus,Yvonne Scheidegger,Page 2 of 2; Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020; Master of Theology UZH Bologna 2020
Major 150 Physics,"English, German",,Faculty of Science,Christof Aegerter,Anna Katharina Troller,Bachelor of Science Faculty of Science (2021)
Minor 30 Neuroinformatics,"English, German",,Faculty of Science,Richard Hahnloser,Daniel Ch. Kiper,Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020; Master of Theology UZH Bologna 2020
Major 120 Chemistry,"German, English",,Faculty of Science,Sandra Erika Luber,Sabine Stockhause,Bachelor of Science Faculty of Science (2021)
Teaching Subject Compulsory modules,,,,,,UZH Digital Society Initiative Excellence Program
Teaching Subject DSI Core elective modules,,,,,,UZH Digital Society Initiative Excellence Program
Teaching Subject Other Core elective modules,,,,,,UZH Digital Society Initiative Excellence Program
Minor 30 Biochemistry,"English, German",,Faculty of Science,Raimund Dutzler,Cristina Manatschal,Bachelor of Science UZH in Informatics (RVO22); Bachelor of Arts UZH in Business and Economics (RVO22)
Minor 30 Chemistry,"German, English",,Faculty of Science,Sandra Erika Luber,Sabine Stockhause,Bachelor of Science UZH in Informatics (RVO22); Bachelor of Arts UZH in Business and Economics (RVO22)
Minor 30 Earth System Science,"English, German",,Faculty of Science,Norman Backhaus,Yvonne Scheidegger,Bachelor of Science UZH in Informatics (RVO22); Bachelor of Arts UZH in Business and Economics (RVO22)
Minor 30 Geography,"English, German",,Faculty of Science,Norman Backhaus,Yvonne Scheidegger,Bachelor of Science UZH in Informatics (RVO22); Bachelor of Arts UZH in Business and Economics (RVO22); BA UZH in Study of Religions Bologna 2020; Bachelor of Theology UZH Bologna 2020
Minor 30 Mathematics,"English, German",,Faculty of Science,Reinhard Furrer,Maja Bettina Schärer,Bachelor of Science UZH in Informatics (RVO22); Bachelor of Arts UZH in Business and Economics (RVO22)
Minor 30 Physics,"German, English",,Faculty of Science,Christof Aegerter,Anna Katharina Troller,Bachelor of Science UZH in Informatics (RVO22); Bachelor of Arts UZH in Business and Economics (RVO22)
Minor 30 Neuroinformatics,"German, English",,Faculty of Science,Richard Hahnloser,Daniel Ch. Kiper,Bachelor of Science UZH in Informatics (RVO22); Bachelor of Arts UZH in Business and Economics (RVO22)
Minor 30 Bioinformatics,English,,Faculty of Science,Andreas Wagner,,Bachelor of Science UZH in Informatics (RVO22); Bachelor of Arts UZH in Business and Economics (RVO22)
Minor 30 Data Science,English,,"Faculty of Business, Economics and Informatics",Michael Hanspeter Böhlen,Daniela Bärtschi,Master of Science UZH in Informatics (PVO08); Master of Science UZH in Informatics (RVO22); Master of Arts UZH in Business and Economics (RVO22)
Minor 30 Information Systems,English,,"Faculty of Business, Economics and Informatics",Michael Hanspeter Böhlen,Daniela Bärtschi,Master of Science UZH in Informatics (PVO08); Master of Science UZH in Informatics (RVO22); Master of Arts UZH in Business and Economics (RVO22)
Minor 30 Economics,English,,"Faculty of Business, Economics and Informatics",Ulrich Woitek,Sonja Verel,Master of Science UZH in Informatics (PVO08); Master of Science UZH in Informatics (RVO22); Master of Arts UZH in Business and Economics (RVO22)
Minor 30 Business Administration,"English, German",,"Faculty of Business, Economics and Informatics",Egon-Peter Franck,Oliver Merz,Master of Science UZH in Informatics (PVO08); Master of Science UZH in Informatics (RVO22)
Minor 30 Banking and Finance,English,,"Faculty of Business, Economics and Informatics",Per Östberg,Benjamin Wilding,Master of Science UZH in Informatics (PVO08); Master of Science UZH in Informatics (RVO22); Master of Arts UZH in Business and Economics (RVO22)
Major 90 Economics,English,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Ulrich Woitek,Sonja Verel,Master of Arts UZH in Business and Economics (RVO22)
Major 90 Business Administration,"German, English",https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Egon-Peter Franck,Jasmin De Clercq,Master of Arts UZH in Business and Economics (RVO22)
